Center of the cluster (IPC code),Field of Knowledge,Member of the cluster (IPC code),Name of the IPC code,,,,,,,
,,A61M,"Devices for introducing media into, or onto, the body; devices for transducing body media or for taking media from the body; devices for producing or ending sleep or stupor",,,,,,,
,,A61N,Electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy,,,,,,,
,,B21G,"Making needles, pins, or nails",,,,,,,
,,H05G,X-ray technique,,,,,,,
A61K,Medical Preparations,A23K,Fodder,,,,,,,
,,A61D,"Veterinary instruments, implements, tools, or methods ",,,,,,,
,,A61J,Containers specially adapted for medical or pharmaceutical purposes;…,,,,,,,
,,A61K,"Preparation for medical, dental, or toilet purposes",,,,,,,
,,A61L,Methods or apparatus for sterilising materials or objects in general…,,,,,,,
,,A61P,Therapeutic activity of chemical compounds or medical preparations,,,,,,,
,,A61Q,Use of cosmetics or similar toilet preparations,,,,,,,
,,C07D,Heterocyclic compounds,,,,,,,
,,C07F,"Acyclic, carbocyclic, or heterocyclic compounds containing elements other than carbon, hydrogen, etc.",,,,,,,
,,C07G,Compounds of uknown constitution,,,,,,,
,,C07H,Sugars; derivatives thereof; nucleosides; nucleotides; nucleic acids,,,,,,,
,,C07J,Steroids,,,,,,,
,,C08B,Polysaccharides; derivated thereof,,,,,,,
,,C09H,Preparation of glue or gelatine,,,,,,,
,,C11B,"Producing, refinind or preserving fats, fatty substances, fatty oils or waxes, including extraction from waste materials; essential oils; perfumes",,,,,,,
,,C11C,"Fatty acids from fats, oils or waxes; Candles; Fats, oils or fatty acids by chemical modification of fats, oils, or fatty acids obtained therefrom",,,,,,,
A62B,Fire-fighting and Life Saving Apparatus,A62B,"Devices, apparatus or methods for life-saving",,,,,,,
A63B,Apparatus for Physical Training and Sports,A63B,"Apparatus for physical training, gymnastics,
swimming, climbing, or fencing; Ball games;
Training equipment",,,,,,,
,,A63K,"Racing; Riding sports; Equipment or accessories
therefor",,,,,,,
A63C,"Skates, Skis and the like",A63C,"Skates; Skis; Roller skates; Design or layout of
courts, rinks or the like ",,,,,,,
A63D,Bowling Games,A63D,"Bowling games, e.g. skittles, bocce or bowls;
Installations therefor; Bagatelle or similar games; Billiards",,,,,,,
A63G,"Swings, Merry-go-rounds and Other Amusement Devices",A63G,"Merry-go-rounds; Swings; Rocking-horses;
Chutes; Switchbacks; Similar devices for public amusement",,,,,,,
A63H,Toys,A63H,"Toys, e.g. tops, dolls, hoops, building blocks ",,,,,,,
B01D,Separation and disposal of  Liquid and Gaseous Products,A62D,"Chemical means for extinguishing fires; Processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change; Composition of materials for coverings or clothing for protecting against harmful chemical agents; Composition of materials for transparent parts of gas-masks, respirators, breathing bags or helmets; Composition of chemical materials for use in breathing apparatus ",,,,,,,
,,B01D,Separation ,,,,,,,
,,B01F,"Mixing, e.g. Dissolving, emulsifying…",,,,,,,
,,B03C,Magnetic or electrostatic separation of solid materials…,,,,,,,
,,B04B,Centrifuges,,,,,,,
,,B04C,Apparatus using free vortes flow,,,,,,,
,,B09B,Disposal of solid waste ,,,,,,,
,,B09C,Reclamation of contaminated soil,,,,,,,
,,C02F,"Treatment of water, waste water, sewagem or sludge",,,,,,,
,,C10K,Purifying or modifying the chemical composition of combustible gases containing carbon monoxide,,,,,,,
,,C12F,"Recovery of by-products of fermented solutions; denaturing of, or denatured, alcohol",,,,,,,
,,E03B,"Installation or methods for obtaining, collecting, or distibuting water",,,,,,,
,,E03F,Sewers; Cesspools ,,,,,,,
,,F01N,Gas-flow silencers or exhaust apparatus for machines or engines in general…,,,,,,,
,,F17B,Gas-holders of variable capacity ,,,,,,,
,,F23B,Methods or apparatus for combustion using only solid fuel,,,,,,,
,,F23G,Cremation furnaces; Consuming waste or low grade fuels by combustion,,,,,,,
,,F23J,Removal or treatment of combustion products or combustion residues,,,,,,,
,,F25J,"Liquefaction, solidification, or separation of gases or gaseous mixtures by pressure and cold treatment",,,,,,,
,,F26B,Drying solid materials or objects by removing liquid therefrom,,,,,,,
B02C,Mechanical Processes for Separating Solids,B02C,"Crushing, pulverising, or disintegrating in general; milling grain",,,,,,,
,,B07B,"Separating solids from solids by sieving, screening, or sifting or by using gas currents; other separating by dry methods applicable to bulk material",,,,,,,
B03B,Separation of solid materials using liquids,B03B,Separating solid materials using liquids or using pneumatic tables or jigs ,,,,,,,
,,B03D,Flotation; Differential sedimentation ,,,,,,,
B05C,"Processes and Apparatus for Applying Liquids to Surfaces, Sprying",B05B,Spraying apparatus; Atomising apparatus; Nozzles,,,,,,,
,,B05C,"Apparatus for applying liquids or other fluent
materials to surfaces, in general ",,,,,,,
,,B05D,"Processes for applying liquids or other fluent
materials to surfaces, in general ",,,,,,,
B08B,"Cleaning, De-greasing, Prevention of Fouling ",B08B,Cleaning in general,,,,,,,
,,B24C,Abrasive or related blasting with particulate material,,,,,,,
